ds,yhat,yhat_lower,yhat_upper
2021-07-06,25.800574104059585,23.42740638468125,28.268391877150282
2021-07-21,31.261962728894833,28.64863308326075,33.619016553845206
2021-08-04,26.9944817216866,24.235563721383087,29.69296401342339
2021-08-18,27.50100865906674,25.0356670189445,30.058876644504398
2021-09-01,29.257062687725718,26.61955670499357,31.906690236696814
2021-09-15,30.31948808844141,27.73418708104752,32.98584094001691
2021-09-29,31.524402508064576,28.93680336942305,33.97172344069806
2021-10-12,25.845086686103244,23.286809877768842,28.520780953103632
2021-12-01,31.97460273210843,29.566034807534898,34.290356214376146
2021-12-29,27.788627010861642,25.353421100038982,30.574362491696654
2022-01-26,26.564823286000284,24.13071570371279,29.11252558344521
2022-02-23,28.465528814651726,25.80545479612421,30.888991346811807
2022-03-02,29.09446013559714,26.56885923070994,31.55161149004685
2022-03-30,29.42919435846582,26.64976850572933,31.82437370387965
2022-04-27,26.209220692389557,23.757960933247567,28.604446742884885
2022-05-25,26.243098743932567,23.721760147089082,28.52777196484675
2022-06-01,25.90296058543921,23.372575126045795,28.267527863199902
2022-06-29,27.514405301563826,24.9789177491184,30.11385441180128
2022-07-27,27.495848321908166,24.93704484181106,30.160594430677016
2022-08-24,28.20174852546657,25.661594794748922,30.670288821055813
2022-09-14,28.62331878726969,25.959469869869654,30.984050086693586
2022-10-05,30.027925608341906,27.348017206983435,32.35704983306866
2022-11-02,33.689475803047344,31.22183788279299,36.090775598752785
2022-11-30,31.004348570923803,28.613355366252357,33.55116909797419
2022-12-09,29.896555145507914,27.494016506774066,32.433641253715386
2023-01-04,30.40955844713219,27.785205523641384,32.941764947546325
2023-02-01,28.93337886862209,26.52310808508439,31.50005156830639
2023-03-01,26.942220163954396,24.40212019601419,29.303023025987507
2023-03-29,27.937550779338373,25.453471808575877,30.398361372772182
2023-04-26,25.442857993614126,22.939197854718163,27.885891112731464
2023-06-07,25.987973343560558,23.47196247374258,28.52648273742571
2023-06-28,27.029739081676432,24.504839313902956,29.513461958030916
2023-07-26,27.683448547925174,25.265736402799902,30.02172860659251
2023-08-23,26.53781994992014,23.990376569701898,28.897001529120995
2023-09-20,27.971402271704513,25.621227385194217,30.46177423989417
2023-10-18,29.75831854551759,27.31823322024406,32.216135542780094
2023-11-27,30.683339680837356,28.194290822228936,33.2167513054022
2024-01-09,21.368613554277946,18.94369870557053,23.88208832912572
2024-02-06,21.27311601027733,18.67942361125558,23.74318479549485
2024-03-05,19.791915777441453,17.316990356725377,22.302937767654825
2024-04-02,19.89683698741481,17.288499748198454,22.311972184009498
2024-04-30,17.07642405236557,14.47045525776902,19.589958243238335
2024-05-28,17.53209675757426,15.15125642558312,20.064765143878525
2024-06-25,18.873081226041833,16.50348289761558,21.383836793213128
2024-07-23,20.63967888746498,17.984143163063436,23.15894004708794
2024-08-20,18.47018486178696,16.197629416973232,20.893139084494617
2024-08-25,-24.631371717458094,-27.192142227781286,-22.118485597439456
2024-09-01,-24.178851815736557,-26.75371749744106,-21.760829990986725
2024-09-08,-24.099027461279988,-26.470003445703952,-21.54667934786352
2024-09-15,-23.852564469228916,-26.335889019828123,-21.409716945197832
2024-09-22,-23.329047615611923,-25.824803983974824,-20.79561817992397
2024-09-29,-22.888012060167263,-25.356646121751663,-20.47667356030285
2024-10-06,-22.694898038393475,-25.244805808759597,-20.295922841628954
2024-10-13,-22.32046959533971,-24.889950377336167,-19.850808819439152
2024-10-20,-21.253334023555823,-23.72488086211729,-18.73749225530712
2024-10-27,-19.76152993070572,-22.171339898639157,-17.29236874629292
2024-11-03,-18.942841637277205,-21.372290433346055,-16.492032428510075
2024-11-10,-19.655386366738057,-22.109636572100623,-17.049925923672337
